MPRN,Meter Serial Number,Read Value,Read Type,Read Date and End Time
10020162832,34994509,0.288000,Active Import Interval (kW),27-02-2023 00:00
10020162832,34994509,0.329000,Active Import Interval (kW),26-02-2023 23:00
10020162832,34994509,0.460000,Active Import Interval (kW),26-02-2023 22:00
10020162832,34994509,0.851000,Active Import Interval (kW),26-02-2023 21:30
10020162832,34994509,0.142000,Active Import Interval (kW),26-02-2023 20:30
10020162832,34994509,0.214000,Active Import Interval (kW),26-02-2023 16:30
10020162832,34994509,0.190000,Active Import Interval (kW),26-02-2023 16:00
10020162832,34994509,0.204000,Active Import Interval (kW),26-02-2023 15:30
10020162832,34994509,0.284000,Active Import Interval (kW),26-02-2023 15:00
10020162832,34994509,0.176000,Active Import Interval (kW),26-02-2023 14:30
10020162832,34994509,0.190000,Active Import Interval (kW),26-02-2023 14:00
10020162832,34994509,0.175000,Active Import Interval (kW),26-02-2023 13:30
10020162832,34994509,0.000000,Active Import Interval (kW),26-02-2023 13:00
10020162832,34994509,0.000000,Active Import Interval (kW),26-02-2023 12:30
10020162832,34994509,0.000000,Active Import Interval (kW),26-02-2023 12:00
10020162832,34994509,0.000000,Active Import Interval (kW),26-02-2023 11:30
10020162832,34994509,0.099000,Active Import Interval (kW),26-02-2023 10:30
10020162832,34994509,0.238000,Active Import Interval (kW),26-02-2023 08:00
10020162832,34994509,0.110000,Active Import Interval (kW),26-02-2023 07:30
10020162832,34994509,0.056000,Active Import Interval (kW),26-02-2023 07:00
10020162832,34994509,0.058000,Active Import Interval (kW),26-02-2023 06:30
10020162832,34994509,0.067000,Active Import Interval (kW),26-02-2023 06:00
10020162832,34994509,0.112000,Active Import Interval (kW),26-02-2023 05:30
10020162832,34994509,0.063000,Active Import Interval (kW),26-02-2023 05:00
10020162832,34994509,0.054000,Active Import Interval (kW),26-02-2023 04:00
10020162832,34994509,0.123000,Active Import Interval (kW),26-02-2023 03:30
10020162832,34994509,0.072000,Active Import Interval (kW),26-02-2023 03:00
10020162832,34994509,0.060000,Active Import Interval (kW),26-02-2023 02:30
10020162832,34994509,0.055000,Active Import Interval (kW),26-02-2023 02:00
10020162832,34994509,0.149000,Active Import Interval (kW),26-02-2023 01:30
10020162832,34994509,0.066000,Active Import Interval (kW),26-02-2023 01:00
10020162832,34994509,0.060000,Active Import Interval (kW),26-02-2023 00:30
10020162832,34994509,0.115000,Active Import Interval (kW),26-02-2023 00:00
10020162832,34994509,0.133000,Active Import Interval (kW),25-02-2023 23:30
10020162832,34994509,0.120000,Active Import Interval (kW),25-02-2023 23:00
10020162832,34994509,0.176000,Active Import Interval (kW),25-02-2023 22:30
10020162832,34994509,0.252000,Active Import Interval (kW),25-02-2023 22:00
10020162832,34994509,0.242000,Active Import Interval (kW),25-02-2023 21:30
10020162832,34994509,0.377000,Active Import Interval (kW),25-02-2023 21:00
10020162832,34994509,0.516000,Active Import Interval (kW),25-02-2023 20:30
10020162832,34994509,0.908000,Active Import Interval (kW),25-02-2023 20:00
10020162832,34994509,1.647000,Active Import Interval (kW),25-02-2023 19:30
10020162832,34994509,0.525000,Active Import Interval (kW),25-02-2023 19:00
10020162832,34994509,1.325000,Active Import Interval (kW),25-02-2023 18:30
10020162832,34994509,0.207000,Active Import Interval (kW),25-02-2023 18:00
10020162832,34994509,1.715000,Active Import Interval (kW),25-02-2023 17:30
10020162832,34994509,1.147000,Active Import Interval (kW),25-02-2023 17:00
10020162832,34994509,0.733000,Active Import Interval (kW),25-02-2023 16:30
10020162832,34994509,0.340000,Active Import Interval (kW),25-02-2023 16:00
10020162832,34994509,0.393000,Active Import Interval (kW),25-02-2023 15:30
10020162832,34994509,0.390000,Active Import Interval (kW),25-02-2023 15:00
10020162832,34994509,0.517000,Active Import Interval (kW),25-02-2023 14:30
10020162832,34994509,0.314000,Active Import Interval (kW),25-02-2023 14:00
10020162832,34994509,0.136000,Active Import Interval (kW),25-02-2023 13:30
10020162832,34994509,0.273000,Active Import Interval (kW),25-02-2023 13:00
10020162832,34994509,0.075000,Active Import Interval (kW),25-02-2023 12:30
10020162832,34994509,0.086000,Active Import Interval (kW),25-02-2023 12:00
10020162832,34994509,0.074000,Active Import Interval (kW),25-02-2023 11:30
10020162832,34994509,0.076000,Active Import Interval (kW),25-02-2023 11:00
10020162832,34994509,0.110000,Active Import Interval (kW),25-02-2023 10:30
10020162832,34994509,0.311000,Active Import Interval (kW),25-02-2023 10:00
10020162832,34994509,0.351000,Active Import Interval (kW),25-02-2023 09:30
10020162832,34994509,0.551000,Active Import Interval (kW),25-02-2023 09:00
10020162832,34994509,0.480000,Active Import Interval (kW),25-02-2023 08:30
10020162832,34994509,0.214000,Active Import Interval (kW),25-02-2023 08:00
10020162832,34994509,0.234000,Active Import Interval (kW),25-02-2023 07:30
10020162832,34994509,0.231000,Active Import Interval (kW),25-02-2023 07:00
10020162832,34994509,0.044000,Active Import Interval (kW),25-02-2023 06:30
10020162832,34994509,0.062000,Active Import Interval (kW),25-02-2023 06:00
10020162832,34994509,0.064000,Active Import Interval (kW),25-02-2023 05:30
10020162832,34994509,0.110000,Active Import Interval (kW),25-02-2023 05:00
10020162832,34994509,0.063000,Active Import Interval (kW),25-02-2023 04:30
10020162832,34994509,0.065000,Active Import Interval (kW),25-02-2023 04:00
